fbgn	gene_support_score	best_downstream_priority	best_candidate_priority	best_gene_role	n_candidate_cres	candidate_cre_ids	n_primary_cres	primary_cre_ids	n_secondary_cres	secondary_cre_ids	n_recurrent_cres	recurrent_cre_ids	n_focal_supported_cres	focal_supported_cre_ids	n_high_priority_cres	high_priority_cre_ids	n_medium_priority_cres	medium_priority_cre_ids	n_exploratory_cres	exploratory_cre_ids	n_unique_tier1_clades	tier1_clades	max_total_tier1_clades_per_cre	max_focal_tier1_clades_per_cre	max_secondary_only_clades_per_cre	has_primary_assignment	has_secondary_assignment
FBgn0265596	3	medium	focal_single	secondary_candidate	1	DMEL_CRE_00106	0		1	DMEL_CRE_00106	0		1	DMEL_CRE_00106	0		1	DMEL_CRE_00106	0		1	teissieri_group	1	1	0	no	yes
FBgn0265865	3	medium	focal_single	secondary_candidate	1	DMEL_CRE_00093	0		1	DMEL_CRE_00093	0		1	DMEL_CRE_00093	0		1	DMEL_CRE_00093	0		1	obscura_group	1	1	0	no	yes
FBgn0266097	3	medium	focal_single	secondary_candidate	1	DMEL_CRE_00030	0		1	DMEL_CRE_00030	0		1	DMEL_CRE_00030	0		1	DMEL_CRE_00030	0		1	teissieri_group	1	1	0	no	yes
FBgn0266961	3	medium	focal_single	secondary_candidate	1	DMEL_CRE_00306	0		1	DMEL_CRE_00306	0		1	DMEL_CRE_00306	0		1	DMEL_CRE_00306	0		1	repleta_group	1	1	0	no	yes
FBgn0267165	3	medium	focal_single	secondary_candidate	1	DMEL_CRE_00122	0		1	DMEL_CRE_00122	0		1	DMEL_CRE_00122	0		1	DMEL_CRE_00122	0		1	obscura_group	1	1	0	no	yes
FBgn0263532	2	exploratory	secondary_single	secondary_candidate	2	DMEL_CRE_00019|DMEL_CRE_00021	0		2	DMEL_CRE_00019|DMEL_CRE_00021	0		0		0		0		2	DMEL_CRE_00019|DMEL_CRE_00021	1	teissieri_group	1	0	1	no	yes
FBgn0003118	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00178	1	DMEL_CRE_00178	0		0		0		0		0		1	DMEL_CRE_00178	1	rufa_group	1	0	1	yes	no
FBgn0003575	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00003	1	DMEL_CRE_00003	0		0		0		0		0		1	DMEL_CRE_00003	1	obscura_group	1	0	1	yes	no
FBgn0004652	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00164	1	DMEL_CRE_00164	0		0		0		0		0		1	DMEL_CRE_00164	1	teissieri_group	1	0	1	yes	no
FBgn0025390	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00004	1	DMEL_CRE_00004	0		0		0		0		0		1	DMEL_CRE_00004	1	rufa_group	1	0	1	yes	no
FBgn0029895	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00042	1	DMEL_CRE_00042	0		0		0		0		0		1	DMEL_CRE_00042	1	obscura_group	1	0	1	yes	no
FBgn0030412	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00082	1	DMEL_CRE_00082	0		0		0		0		0		1	DMEL_CRE_00082	1	rufa_group	1	0	1	yes	no
FBgn0033627	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00203	1	DMEL_CRE_00203	0		0		0		0		0		1	DMEL_CRE_00203	1	teissieri_group	1	0	1	yes	no
FBgn0039588	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00186	1	DMEL_CRE_00186	0		0		0		0		0		1	DMEL_CRE_00186	1	immigrans_group	1	0	1	yes	no
FBgn0041092	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00255	1	DMEL_CRE_00255	0		0		0		0		0		1	DMEL_CRE_00255	1	repleta_group	1	0	1	yes	no
FBgn0041094	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00321	1	DMEL_CRE_00321	0		0		0		0		0		1	DMEL_CRE_00321	1	rufa_group	1	0	1	yes	no
FBgn0052666	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00072	1	DMEL_CRE_00072	0		0		0		0		0		1	DMEL_CRE_00072	1	teissieri_group	1	0	1	yes	no
FBgn0264386	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00038	1	DMEL_CRE_00038	0		0		0		0		0		1	DMEL_CRE_00038	1	obscura_group	1	0	1	yes	no
FBgn0264490	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00175	1	DMEL_CRE_00175	0		0		0		0		0		1	DMEL_CRE_00175	1	obscura_group	1	0	1	yes	no
FBgn0265523	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00083	1	DMEL_CRE_00083	0		0		0		0		0		1	DMEL_CRE_00083	1	teissieri_group	1	0	1	yes	no
