group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	d_repleta	d_buzzatii	d_mojavensis	d_arizonae
repleta_group	DMEL_CRE_00241	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
repleta_group	DMEL_CRE_00244	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	uncertain	uncertain	no_detected_CRE
repleta_group	DMEL_CRE_00250	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00252	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	uncertain
repleta_group	DMEL_CRE_00255	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	turnover_candidate	turnover_candidate	present
repleta_group	DMEL_CRE_00257	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00262	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	no_detected_CRE	no_detected_CRE	turnover_candidate
repleta_group	DMEL_CRE_00264	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	uncertain	uncertain	no_detected_CRE
repleta_group	DMEL_CRE_00265	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
repleta_group	DMEL_CRE_00268	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00269	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00273	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
repleta_group	DMEL_CRE_00275	comparison_mixed	d_repleta	TEMP	present	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	present	turnover_candidate	present	present
repleta_group	DMEL_CRE_00278	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	turnover_candidate	present	present
repleta_group	DMEL_CRE_00279	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00282	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00283	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00284	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00285	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00286	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00292	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	turnover_candidate	present	turnover_candidate
repleta_group	DMEL_CRE_00295	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00298	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00302	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	uncertain	present	present
repleta_group	DMEL_CRE_00305	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	uncertain	uncertain	no_detected_CRE
repleta_group	DMEL_CRE_00307	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	no_detected_CRE	uncertain	no_detected_CRE
repleta_group	DMEL_CRE_00308	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00309	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	uncertain	uncertain	no_detected_CRE
repleta_group	DMEL_CRE_00310	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	turnover_candidate	turnover_candidate	present
repleta_group	DMEL_CRE_00314	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	no_detected_CRE	uncertain	uncertain
repleta_group	DMEL_CRE_00319	comparison_mixed	d_repleta	TEMP	present	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	present	no_detected_CRE	present	no_detected_CRE
repleta_group	DMEL_CRE_00328	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	uncertain	turnover_candidate	uncertain
repleta_group	DMEL_CRE_00329	comparison_mixed	d_repleta	TEMP	present	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	present	no_detected_CRE	no_detected_CRE	present
repleta_group	DMEL_CRE_00331	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	present	turnover_candidate	turnover_candidate
repleta_group	DMEL_CRE_00335	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	no_detected_CRE	no_detected_CRE	uncertain
