group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dazt	d_affinis	dmir	dper
azteca_affinis_miranda_group	DMEL_CRE_00236	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00239	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	present
azteca_affinis_miranda_group	DMEL_CRE_00241	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	present	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00242	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00243	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00246	comparison_mixed	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	mixed	uncertain	uncertain	no_detected_CRE	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00248	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00262	comparison_mixed	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	mixed	uncertain	uncertain	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00264	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00265	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00266	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	present
azteca_affinis_miranda_group	DMEL_CRE_00267	comparison_mixed	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	mixed	uncertain	uncertain	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00269	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	present
azteca_affinis_miranda_group	DMEL_CRE_00273	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	no_detected_CRE	present	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00274	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00275	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	turnover_candidate	present
azteca_affinis_miranda_group	DMEL_CRE_00276	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	present	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00280	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00282	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00288	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00291	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00292	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00293	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00295	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	no_detected_CRE	no_detected_CRE	present
azteca_affinis_miranda_group	DMEL_CRE_00296	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00297	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00299	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	no_detected_CRE	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00303	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00304	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00305	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	present	turnover_candidate	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00313	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00314	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00315	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	present	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00316	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00317	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00319	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	no_detected_CRE	present	present
azteca_affinis_miranda_group	DMEL_CRE_00321	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	present	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00324	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	no_detected_CRE	no_detected_CRE	present
azteca_affinis_miranda_group	DMEL_CRE_00328	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00332	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00333	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	no_detected_CRE	present
azteca_affinis_miranda_group	DMEL_CRE_00335	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate
