group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dimm	dfor	dsul	dnas
immigrans_group	DMEL_CRE_00240	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00242	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00243	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00246	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00247	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00248	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00249	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00251	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00253	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00254	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00256	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00257	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00259	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00260	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00261	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00263	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00264	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00267	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00268	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00270	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00271	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00272	all_same	dimm	TEMP	present	dfor|dsul|dnas	TROP	present	present	present	present	present
immigrans_group	DMEL_CRE_00274	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
