dmel_cre_id	dazt	d_affinis	dmir	dper	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00111	turnover_candidate	no_detected_CRE	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00114	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00116	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00117	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00118	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00119	turnover_candidate	no_detected_CRE	present	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00120	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00121	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00122	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00123	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00125	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00126	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00127	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00128	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00129	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00131	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00132	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00134	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00135	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
