dmel_cre_id	dimm	dfor	dsul	dnas	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00144	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00145	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00146	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00148	no_detected_CRE	turnover_candidate	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00149	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00150	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00151	turnover_candidate	present	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00152	turnover_candidate	turnover_candidate	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00153	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00154	uncertain	uncertain	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00155	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00156	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00158	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00159	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00160	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00161	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00162	turnover_candidate	present	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00163	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00164	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00165	turnover_candidate	turnover_candidate	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00166	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00168	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00170	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00171	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00173	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00174	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00175	uncertain	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00176	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00177	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00179	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00180	no_detected_CRE	no_detected_CRE	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00181	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00182	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00184	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00187	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00188	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00189	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00190	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00191	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00192	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00193	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00194	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00195	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00196	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00198	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00199	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00200	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00201	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00202	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00204	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00205	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00207	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00208	uncertain	uncertain	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00209	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00210	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00211	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00212	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00213	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00214	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00215	present	present	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00216	uncertain	uncertain	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00217	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00218	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00219	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00221	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00222	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00223	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00224	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00225	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00226	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00229	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00230	no_detected_CRE	turnover_candidate	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00231	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00233	no_detected_CRE	no_detected_CRE	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00234	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
